,IDnum,GSSyear,sex,race,Age,maritalstatus,PlaceLived16,Region16,BornHere,ageism,racism,HighestDegree,DegreeField,baEarnRate,collStudEnroll,colltype,income,hrsLastWk,jobstatus,selfEmploy,GovOrPriv,IndusCode,pctColleagueWdegree,prestige
1898,2488,2,Female,White,59,Married,50000,Mountain,1,NA,NA,Graduate,Physical Sciences,58%+,468+,Private,NA,1,Retired,0,Government,Elementary and secondary schools,88,65
2082,49,1,Female,White,24,Married,Big-city suburb,Pacific,1,No,No,Bachelor,Physical Sciences,58%+,468+,Public,NA,35,Working fulltime,1,Private,Electronic shopping,45,NA
524,1726,1,Male,White,38,Married,Big-city suburb,E. nor. central,1,No,No,Bachelor,Physical Sciences,58%+,468+,Public,25000,41,Working fulltime,0,Private,NA,75,NA
683,1815,1,Female,White,61,Married,0,New england,1,NA,NA,Bachelor,Physical Sciences,58%+,468+,Private,0,1,Retired,0,Private,"Colleges and universities, including junior colleges",62,NA
809,1885,1,Male,Other,32,Married,50000,Pacific,0,No,No,Bachelor,Physical Sciences,58%+,468+,Private,25000,35,Working fulltime,0,Private,"Navigational, measuring, electromedical, and control instruments manufacturing",75,NA
1031,2008,1,Female,White,33,Married,NA,South atlantic,1,NA,NA,Bachelor,Physical Sciences,58%+,468+,Public,NA,84,Keeping house,0,Private,Clothing stores,54,NA
1338,2177,1,Male,White,34,Divorced,Big-city suburb,W. nor. central,1,No,No,Bachelor,Physical Sciences,40-57.9%,468+,Public,25000,40,Working fulltime,1,Private,"Management, scientific, and technical consulting services",80,NA
1572,2307,2,Female,White,23,Married,Big-city suburb,E. nor. central,1,No,No,Graduate,Physical Sciences,40-57.9%,468+,Public,NA,30,Working parttime,0,Private,Offices of physicians,88,50
1617,2333,2,Female,White,8,Never married,Big-city suburb,E. nor. central,1,NA,NA,Bachelor,Physical Sciences,58%+,468+,Private,NA,84,School,NA,NA,NA,1,30
1654,2353,2,Female,White,19,Never married,0,E. nor. central,1,No,No,Junior college,Physical Sciences,NA,NA,none,25000,57,Working fulltime,0,Private,Agricultural implement manufacturing,66,55
1938,2510,1,Female,White,25,Married,0,W. nor. central,1,No,No,Junior college,Multi-disciplinary/other,NA,468+,Public,25000,31,Working fulltime,0,Private,Hospitals,87,NA
2110,64,2,Female,White,66,Married,0,South atlantic,1,NA,NA,Graduate,Multi-disciplinary/other,58%+,468+,Public,NA,84,Keeping house,0,Government,Elementary and secondary schools,88,0
2353,199,2,Female,White,28,Divorced,50000,Middle atlantic,1,No,No,Junior college,Multi-disciplinary/other,NA,468+,Public,10000,35,Working fulltime,0,Government,Elementary and secondary schools,13,46
2718,401,2,Female,White,17,Married,Big-city suburb,E. sou. central,1,No,Yes,Bachelor,Multi-disciplinary/other,40-57.9%,468+,Public,20000,35,Working fulltime,0,Private,Home health care services,48,25
3554,869,2,Female,White,14,Married,NA,South atlantic,1,No,No,Junior college,Multi-disciplinary/other,NA,468+,Public,5000,20,Working fulltime,0,Private,Construction,48,52
4198,1368,2,Female,White,12,Married,50000,E. nor. central,1,NA,NA,Junior college,Multi-disciplinary/other,NA,NA,Public,NA,84,School,0,Government,National security and international affairs,24,NA
346,813,2,Male,White,38,Married,Big-city suburb,Pacific,1,No,No,Junior college,Multi-disciplinary/other,NA,468+,Public,25000,46,Working fulltime,1,Private,Construction,49,64
774,1864,2,Female,Black,21,Never married,50000,Foreign,0,No,No,Junior college,Humanities,NA,468+,Public,25000,44,Working fulltime,0,Private,Home health care services,31,0
1697,2377,2,Female,White,39,Divorced,NA,Middle atlantic,1,No,No,Junior college,Humanities,NA,468+,Public,25000,35,Working fulltime,0,Government,Construction,46,28
2070,42,2,Female,Other,40,Married,0,E. nor. central,1,NA,NA,Bachelor,Physical Sciences,40-57.9%,468+,Public,1000,84,Keeping house,0,Private,"Management, scientific, and technical consulting services",41,46
4051,1205,2,Male,White,16,Separated,Big-city suburb,Middle atlantic,1,NA,NA,Bachelor,Physical Sciences,58%+,468+,Public,25000,1,"Unempl, laid off",0,Private,Construction,19,NA
4331,1516,2,Female,Other,20,Never married,0,W. nor. central,1,NA,NA,Junior college,Multi-disciplinary/other,NA,NA,none,NA,1,"Unempl, laid off",0,Private,"Other amusement, gambling, and recreation industries",25,NA
4502,1706,2,Female,White,46,Married,Big-city suburb,New england,1,NA,NA,Bachelor,Pre-Health & Medicine,58%+,468+,Public,NA,1,Retired,0,Government,Elementary and secondary schools,88,NA
900,1935,2,Male,Other,33,Married,50000,New england,1,No,No,Bachelor,Pre-Health & Medicine,58%+,468+,Private,25000,35,Working fulltime,0,Private,Administration of environmental quality and housing programs,88,58
2982,548,1,Female,White,22,Married,50000,W. nor. central,1,No,No,Bachelor,Pre-Health & Medicine,58%+,468+,Public,25000,37,Working fulltime,0,Private,Veterinary services,66,NA
576,1754,2,Male,White,21,Married,0,Mountain,1,NA,NA,Bachelor,Pre-Health & Medicine,40-57.9%,468+,Public,25000,43,Working fulltime,0,Private,Support activities for mining,88,53
3070,597,2,Male,Black,13,Married,250000,Foreign,0,NA,NA,Graduate,Pre-Health & Medicine,NA,NA,none,25000,84,School,0,Government,"Colleges and universities, including junior colleges",3,33
1384,2203,1,Female,White,37,Married,50000,South atlantic,1,No,No,Graduate,Pre-Health & Medicine,40-57.9%,468+,Public,25000,46,Working fulltime,0,Government,Administration of human resource programs,75,NA
127,2145,2,Female,Other,30,Never married,50000,Foreign,0,No,No,Graduate,Pre-Health & Medicine,58%+,468+,Public,25000,35,Working fulltime,0,Government,Hospitals,71,50
296,535,2,Female,White,28,Married,0,Middle atlantic,1,NA,NA,Graduate,Pre-Health & Medicine,58%+,468+,Private,NA,84,Keeping house,0,Private,"Civic, social, advocacy organizations, and grantmaking and giving services",76,49
320,669,2,Female,Black,69,Widowed,NA,South atlantic,1,NA,NA,Junior college,Pre-Health & Medicine,NA,NA,none,NA,1,Retired,0,Private,Hospitals,76,51
355,868,1,Male,White,50,Divorced,50000,Pacific,1,NA,NA,Graduate,Pre-Health & Medicine,0-39.9%,468+,Public,NA,1,Retired,0,Private,Medical equipment and supplies manufacturing,58,NA
594,1764,1,Male,White,64,Married,NA,South atlantic,1,NA,NA,Graduate,Pre-Health & Medicine,58%+,468+,Public,NA,1,Retired,0,Government,Administration of economic programs and space research,66,NA
624,1782,2,Female,White,13,Married,NA,E. nor. central,1,Yes,No,Graduate,Pre-Health & Medicine,58%+,468+,Private,25000,42,Working fulltime,0,Private,Offices of chiropractors,88,53
671,1808,2,Female,White,6,Never married,0,E. nor. central,1,No,No,Junior college,Pre-Health & Medicine,NA,NA,none,NA,43,Working fulltime,0,Private, restaurants and other food services,32,64
719,1835,2,Female,White,33,Married,50000,E. nor. central,1,NA,NA,Graduate,Pre-Health & Medicine,40-57.9%,468+,Public,10000,84,Other,0,Government,Administration of human resource programs,80,51
907,1939,1,Male,White,50,Married,Big-city suburb,E. nor. central,1,No,No,Graduate,Pre-Health & Medicine,40-57.9%,468+,Public,25000,35,Working fulltime,0,Private,Labor unions,66,NA
930,1951,1,Female,Other,21,Married,250000,Foreign,0,NA,NA,Bachelor,Pre-Health & Medicine,NA,NA,none,NA,84,Keeping house,0,Private,Elementary and secondary schools,87,NA
1569,2306,1,Male,White,25,Married,Big-city suburb,South atlantic,1,No,No,Bachelor,Pre-Health & Medicine,58%+,468+,Private,25000,73,Working fulltime,0,Private,"Management, scientific, and technical consulting services",66,NA
1582,2313,1,Female,White,10,Married,Big-city suburb,Pacific,1,NA,NA,Junior college,Pre-Health & Medicine,40-57.9%,468+,Private,NA,84,Keeping house,0,Private, restaurants and other food services,32,NA
1846,2460,2,Male,White,38,Married,250000,E. nor. central,1,No,No,Bachelor,Pre-Health & Medicine,58%+,468+,Private,25000,31,Working fulltime,0,Private,Outpatient care centers,87,38
1860,2468,2,Female,White,21,Never married,NA,E. nor. central,1,No,No,Bachelor,Pre-Health & Medicine,0-39.9%,468+,Private,25000,52,Working fulltime,0,Private,Offices of physicians,54,64
2088,52,2,Female,White,38,Married,Big-city suburb,W. nor. central,1,NA,NA,Junior college,Pre-Health & Medicine,58%+,468+,Private,25000,35,Working fulltime,0,Private,Hospitals,76,36
2155,89,2,Male,White,4,Never married,Big-city suburb,South atlantic,1,NA,NA,Junior college,Pre-Health & Medicine,NA,468+,Public,6000,21,Working parttime,0,Private,Other personal services,30,53
2558,312,1,Female,Black,42,Married,250000,E. nor. central,1,No,No,Graduate,Pre-Health & Medicine,58%+,468+,Private,NA,13,Working parttime,1,NA,NA,80,NA
2577,323,1,Female,Black,42,Divorced,Big-city suburb,E. sou. central,0,NA,NA,Graduate,Pre-Health & Medicine,0-39.9%,468+,Private,NA,1,Retired,0,Government,"Electric power generation, transmission, and distribution",71,NA
2600,337,1,Female,White,48,Married,50000,Mountain,1,No,No,Bachelor,Pre-Health & Medicine,58%+,468+,Public,25000,46,Working fulltime,0,Private,Hospitals,75,NA
2841,471,2,Female,Black,12,Never married,250000,Middle atlantic,1,NA,NA,Junior college,Pre-Health & Medicine,NA,NA,none,NA,18,Working parttime,0,Private,Miscellaneous general merchandise stores,46,46
2868,485,1,Male,White,28,Married,50000,Pacific,1,No,No,Bachelor,Pre-Health & Medicine,0-39.9%,468+,Public,25000,30,Working fulltime,0,Private,Hospitals,85,NA
3075,600,1,Male,Other,16,Married,NA,W. sou. central,1,No,No,Junior college,Pre-Health & Medicine,NA,468+,Public,25000,73,Working fulltime,0,Private,Support activities for mining,16,NA
3413,790,2,Female,Black,24,Separated,Big-city suburb,E. sou. central,1,NA,NA,Graduate,Pre-Health & Medicine,NA,468+,Private,25000,84,Temp not working,0,Government,Elementary and secondary schools,88,31
3671,933,2,Male,White,39,Married,Big-city suburb,E. nor. central,1,No,No,Graduate,Humanities,NA,468+,Private,25000,46,Working fulltime,1,Private,Offices of chiropractors,88,25
3919,1071,2,Female,White,42,Married,NA,W. nor. central,1,No,No,Graduate,Humanities,NA,468+,Private,25000,35,Working fulltime,0,Private,Hospitals,87,38
4044,1197,2,Female,White,17,Never married,250000,Mountain,1,No,No,Graduate,Humanities,40-57.9%,468+,Public,25000,46,Working fulltime,0,Private,Offices of physicians,82,NA
4118,1279,2,Female,White,26,Married,0,Pacific,1,NA,NA,Bachelor,Humanities,40-57.9%,468+,Public,NA,84,Keeping house,0,Private,Insurance carriers and related activities,65,NA
4381,1572,2,Female,White,37,Married,0,E. nor. central,1,No,No,Bachelor,Humanities,58%+,468+,Public,25000,35,Working fulltime,0,Private,Hospitals,73,NA
4402,1595,2,Male,White,50,Married,50000,South atlantic,1,No,No,Graduate,Humanities,NA,468+,Public,25000,69,Working parttime,0,Private,Hospitals,3,NA
52,1723,1,Female,White,25,Married,250000,Foreign,0,No,No,Bachelor,Humanities,NA,NA,none,NA,69,Working fulltime,0,Private,Insurance carriers and related activities,69,NA
208,47,2,Female,White,15,Married,250000,Middle atlantic,1,No,No,Bachelor,Humanities,40-57.9%,468+,Private,25000,32,Working fulltime,0,Private,Offices of physicians,48,74
213,80,2,Male,White,64,Widowed,Big-city suburb,Middle atlantic,1,NA,NA,Bachelor,Humanities,58%+,468+,Private,NA,1,Retired,0,Private,Insurance carriers and related activities,48,48
790,1873,2,Male,Black,10,Never married,Big-city suburb,South atlantic,0,NA,NA,Junior college,Humanities,NA,468+,Public,25000,35,Working fulltime,0,Private,Investigation and security services,39,33
796,1876,2,Female,Black,19,Divorced,250000,South atlantic,1,Yes,No,Graduate,Humanities,58%+,468+,Private,25000,57,Working fulltime,0,Government,"Colleges and universities, including junior colleges",88,46
829,1896,1,Female,White,72,Widowed,250000,Pacific,1,NA,NA,Bachelor,Humanities,40-57.9%,468+,Private,NA,84,Keeping house,0,Private,Household appliance stores,48,NA
877,1922,1,Female,White,54,Married,250000,W. sou. central,1,NA,NA,Bachelor,Humanities,58%+,468+,Public,NA,84,Keeping house,0,Private,"Securities, commodities, funds, trusts, and other financial investments",48,NA
962,1969,2,Female,White,52,Married,Big-city suburb,Middle atlantic,1,NA,NA,Bachelor,Humanities,58%+,468+,Public,NA,35,Working fulltime,1,Private,Insurance carriers and related activities,55,25
1016,1999,1,Male,White,31,Married,NA,Pacific,1,No,No,Graduate,Humanities,40-57.9%,468+,Public,25000,57,Working fulltime,0,Government,"Colleges and universities, including junior colleges",88,NA
1076,2032,2,Female,White,25,Never married,50000,Pacific,1,No,No,Bachelor,Multi-disciplinary/other,58%+,468+,Private,25000,46,Working fulltime,0,Government,Elementary and secondary schools,88,24
1226,2116,1,Female,White,33,Never married,50000,E. nor. central,1,No,No,Graduate,Multi-disciplinary/other,NA,NA,none,25000,35,Working fulltime,0,Government,Libraries and archives,82,NA
1728,2394,2,Male,White,14,Married,0,Pacific,1,NA,NA,Junior college,Multi-disciplinary/other,NA,468+,Public,15000,1,"Unempl, laid off",0,Private,"Residential care facilities, without nursing",28,0
2907,507,2,Male,White,17,Married,0,Middle atlantic,1,No,No,Bachelor,Multi-disciplinary/other,58%+,468+,Private,NA,40,Working fulltime,0,Private,Insurance carriers and related activities,65,63
2922,515,1,Male,White,22,Married,NA,W. nor. central,1,No,No,Bachelor,Multi-disciplinary/other,40-57.9%,468+,Public,25000,48,Working fulltime,0,Private,Truck transportation,16,NA
4290,1471,2,Male,White,45,Never married,0,W. nor. central,1,NA,NA,Bachelor,Multi-disciplinary/other,40-57.9%,468+,Public,25000,40,Working fulltime,0,Private,Fuel dealers,16,NA
19,2,2,Female,Other,13,Married,250000,Middle atlantic,1,NA,NA,Junior college,Multi-disciplinary/other,NA,468+,Public,25000,51,Working fulltime,0,Private,Nursing care facilities,49,38
269,391,2,Female,White,45,Never married,250000,Middle atlantic,1,NA,NA,Bachelor,Multi-disciplinary/other,0-39.9%,468+,Public,NA,84,Other,0,NA,Clothing stores,46,47
340,780,1,Male,White,23,Married,0,Foreign,0,No,No,Graduate,Multi-disciplinary/other,NA,NA,none,25000,38,Working fulltime,0,Private,Not specified food industries,80,NA
499,1669,1,Female,White,37,Married,250000,E. nor. central,0,Yes,No,Bachelor,Humanities,40-57.9%,468+,Private,25000,35,Working fulltime,0,Private,Insurance carriers and related activities,46,NA
634,1787,1,Female,Black,31,Separated,Big-city suburb,Middle atlantic,1,No,No,Bachelor,Humanities,NA,NA,none,25000,84,Temp not working,0,Government,Elementary and secondary schools,72,NA
1391,2207,1,Female,White,26,Married,50000,Pacific,1,No,No,Bachelor,Economics,58%+,468+,Public,25000,57,Working fulltime,0,Private,Insurance carriers and related activities,65,NA
2074,44,2,Female,White,13,Married,Big-city suburb,W. nor. central,1,No,No,Graduate,Economics,58%+,468+,Private,25000,46,Working fulltime,0,Private,Travel arrangements and reservation services,68,47
3327,740,2,Female,White,14,Married,0,South atlantic,1,NA,NA,Junior college,Economics,NA,468+,Public,NA,35,Working fulltime,0,Government,"Justice, public order, and safety activities",45,46
3831,1022,2,Female,White,13,Married,0,W. nor. central,1,No,No,Bachelor,Economics,40-57.9%,468+,Private,10000,40,Working fulltime,0,Private,Motor vehicles and motor vehicle equipment manufacturing,16,35
466,1480,2,Male,White,20,Married,0,Pacific,1,NA,NA,Junior college,Economics,NA,468+,Public,NA,35,Working parttime,1,NA,Other personal services,72,NA
882,1925,2,Female,White,49,Never married,0,South atlantic,1,NA,NA,Bachelor,Economics,58%+,468+,Private,NA,1,Retired,0,Private,Insurance carriers and related activities,81,44
228,158,1,Male,White,46,Married,0,New england,1,No,No,Graduate,Engineering & Computer Science,40-57.9%,468+,Public,10000,13,Working parttime,0,Private,Hardware stores,46,NA
1895,2487,2,Male,White,47,Married,Big-city suburb,Mountain,1,NA,NA,Bachelor,Engineering & Computer Science,40-57.9%,468+,Public,NA,1,Retired,1,Private,Construction,27,52
2711,398,2,Female,White,44,Divorced,50000,W. nor. central,1,NA,NA,Bachelor,Humanities,40-57.9%,468+,Public,25000,35,Working fulltime,0,Private,Hospitals,48,45
2771,431,1,Male,Black,14,Never married,NA,E. nor. central,1,NA,NA,Junior college,Humanities,NA,468+,Public,NA,1,"Unempl, laid off",0,Private, restaurants and other food services,18,NA
3422,796,1,Male,White,31,Married,250000,Middle atlantic,1,No,No,Junior college,Humanities,NA,NA,Public,NA,35,Working fulltime,0,Government,Construction,27,NA
4266,1443,2,Male,White,34,Divorced,0,E. nor. central,1,No,No,Junior college,Humanities,0-39.9%,468+,Public,25000,84,Temp not working,0,Private,"Structural metals, and boiler, tank, and shipping container manufacturing",59,NA
1735,2398,2,Male,White,18,Married,NA,Pacific,1,No,No,Bachelor,Humanities,58%+,468+,Public,25000,37,Working fulltime,0,Private,Computer and peripheral equipment manufacturing    ,81,73
2118,68,2,Male,White,40,Widowed,Big-city suburb,Mountain,1,No,No,Bachelor,Humanities,58%+,468+,Public,25000,35,Working fulltime,0,Private,Administration of human resource programs,49,61
297,546,1,Female,White,10,Never married,250000,Pacific,0,No,No,Junior college,Pre-Law,NA,468+,Private,NA,35,Working fulltime,0,Private,Legal services,28,NA
792,1874,1,Female,White,34,Divorced,0,Foreign,0,No,Yes,Graduate,Pre-Law,0-39.9%,468+,Private,25000,40,Working fulltime,0,Government,Elementary and secondary schools,88,NA
845,1905,2,Male,White,43,Married,250000,Middle atlantic,1,NA,NA,Graduate,Pre-Law,58%+,468+,Public,NA,35,Working fulltime,0,Private,NA,1,60
2238,135,1,Female,White,9,Married,NA,South atlantic,1,No,No,Bachelor,Pre-Law,58%+,468+,Public,25000,35,Working fulltime,1,Private,"Accounting, tax preparation, bookkeeping, and payroll services",46,NA
2941,526,1,Male,White,13,Never married,0,W. nor. central,1,No,No,Bachelor,Pre-Law,40-57.9%,468+,Public,NA,61,Working fulltime,0,Private,NA,1,NA
3889,1054,2,Male,White,36,Married,0,W. nor. central,1,No,No,Bachelor,Pre-Law,58%+,468+,Public,NA,35,Working fulltime,0,Private,Insurance carriers and related activities,50,46
56,1745,2,Male,White,40,Married,250000,Middle atlantic,1,No,No,Bachelor,Pre-Law,58%+,468+,Public,25000,35,Working fulltime,1,Private,Legal services,88,58
172,2389,1,Female,White,13,Married,0,Foreign,0,No,No,Graduate,Pre-Law,NA,NA,none,NA,35,Working fulltime,0,Private,Elementary and secondary schools,88,NA
194,2511,1,Male,White,37,Married,250000,Middle atlantic,1,No,No,Bachelor,Pre-Law,40-57.9%,468+,Public,NA,84,Working fulltime,1,Private,Legal services,88,NA
338,768,2,Male,White,50,Married,Big-city suburb,Pacific,1,NA,NA,Graduate,Pre-Law,58%+,468+,Public,NA,1,Retired,0,Private,Banking and related activities,88,45
704,1826,1,Female,White,38,Divorced,Big-city suburb,Middle atlantic,1,NA,NA,Graduate,Pre-Law,58%+,468+,Private,NA,1,"Unempl, laid off",1,Private,Legal services,88,NA
816,1888,2,Male,White,71,Married,250000,New england,1,NA,NA,Graduate,Pre-Law,58%+,468+,Private,NA,1,Retired,1,Private,Legal services,88,51
822,1892,2,Male,White,18,Married,250000,Foreign,0,No,No,Graduate,Pre-Law,58%+,468+,Private,25000,46,Working fulltime,0,Private,Legal services,88,33
1010,1996,2,Male,White,46,Widowed,Big-city suburb,E. nor. central,1,No,No,Graduate,Pre-Law,58%+,468+,Private,25000,2,Working parttime,0,Private,Legal services,88,47
1050,2018,2,Female,Black,28,Never married,50000,Pacific,1,No,No,Junior college,Pre-Law,NA,468+,Public,25000,37,Working fulltime,0,Private,Services incidental to transportation,83,37
1542,2291,2,Male,White,14,Never married,250000,Foreign,0,No,No,Graduate,Pre-Law,NA,NA,none,4000,46,Working parttime,0,Government,"Colleges and universities, including junior colleges",46,16
1790,2428,1,Male,White,15,Married,50000,E. nor. central,1,No,No,Graduate,Pre-Law,40-57.9%,468+,Public,25000,57,Working fulltime,0,Private,Legal services,88,NA
1808,2439,1,Female,White,16,Divorced,0,E. nor. central,1,No,No,Junior college,Pre-Law,NA,468+,Public,25000,57,Working fulltime,0,Government,"Justice, public order, and safety activities",63,NA
1826,2449,1,Female,Other,32,Divorced,0,Mountain,0,No,No,Junior college,Pre-Law,NA,0-467,Private,25000,43,Working fulltime,0,Private,Banking and related activities,72,NA
2678,379,2,Female,White,20,Never married,0,Mountain,1,No,No,Graduate,Pre-Law,58%+,468+,Private,10000,46,Working fulltime,0,Government,Elementary and secondary schools,72,60
2797,445,1,Female,White,28,Married,Big-city suburb,E. nor. central,1,No,No,Graduate,Pre-Law,NA,468+,Private,25000,35,Working fulltime,1,NA,Legal services,88,NA
3429,799,1,Female,White,48,Married,0,Middle atlantic,1,No,No,Junior college,Pre-Law,NA,0-467,Private,0,84,Temp not working,0,Private,Religious organizations,80,NA
3465,819,2,Male,White,17,Married,50000,E. nor. central,1,No,No,Graduate,Pre-Law,58%+,468+,Private,25000,35,Working fulltime,0,Government,"Justice, public order, and safety activities",88,53
3769,987,1,Female,Black,49,Widowed,0,E. sou. central,1,No,Yes,Graduate,Pre-Law,58%+,468+,Public,25000,73,Working fulltime,1,Government,Legal services,88,NA
4294,1475,2,Male,White,14,Married,NA,W. nor. central,1,NA,NA,Junior college,Multi-disciplinary/other,40-57.9%,468+,Public,25000,84,Keeping house,0,Private,Landscaping services,33,NA
4489,1692,2,Female,White,52,Married,250000,W. nor. central,1,NA,NA,Graduate,Multi-disciplinary/other,NA,468+,Private,NA,1,Retired,0,Government,Legal services,88,64
181,2445,2,Male,White,28,Never married,Big-city suburb,Middle atlantic,1,No,No,Junior college,Multi-disciplinary/other,40-57.9%,468+,Public,25000,40,Working fulltime,0,Government,"Justice, public order, and safety activities",70,38
2151,87,2,Female,White,8,Divorced,Big-city suburb,South atlantic,0,No,Yes,Junior college,Multi-disciplinary/other,NA,468+,Public,25000,35,Working fulltime,0,Private,Other personal services,70,39
2627,352,2,Male,White,33,Married,50000,E. nor. central,1,No,No,Junior college,Multi-disciplinary/other,NA,468+,Public,25000,40,Working fulltime,0,Government,"Justice, public order, and safety activities",66,25
3799,1005,2,Male,White,26,Married,50000,E. nor. central,1,No,No,Junior college,Multi-disciplinary/other,NA,468+,Public,25000,35,Working fulltime,0,Government,"Justice, public order, and safety activities",66,0
212,69,2,Male,White,24,Married,Big-city suburb,Middle atlantic,1,No,No,Bachelor,Multi-disciplinary/other,58%+,468+,Public,25000,46,Working fulltime,1,Private,Real estate,67,21
826,1894,1,Male,White,43,Married,50000,Pacific,1,No,No,Graduate,Multi-disciplinary/other,0-39.9%,468+,Private,15000,5,Working parttime,1,Private,Nursing care facilities,87,NA
1258,2133,1,Male,White,32,Never married,Big-city suburb,Pacific,1,No,No,Bachelor,Multi-disciplinary/other,58%+,468+,Private,20000,15,Working fulltime,0,Private,Scientific research and development services,85,NA
1577,2310,1,Male,White,45,Married,0,Pacific,1,NA,NA,Junior college,Multi-disciplinary/other,NA,468+,Public,NA,1,Retired,0,Government,Administration of economic programs and space research,46,NA
1612,2330,2,Male,White,30,Married,Big-city suburb,E. nor. central,1,No,No,Bachelor,Multi-disciplinary/other,58%+,468+,Private,25000,57,Working fulltime,0,Private,Cut and sew apparel manufacturing,46,73
1754,2408,2,Female,White,23,Married,50000,Pacific,0,No,No,Bachelor,Education,58%+,468+,Private,25000,57,Working fulltime,0,Government,Elementary and secondary schools,88,53
2586,328,2,Male,Other,46,Divorced,50000,Foreign,0,No,No,Bachelor,Education,NA,NA,none,4000,24,Working parttime,1,Private,Insurance carriers and related activities,65,21
2814,455,2,Female,White,48,Divorced,0,Middle atlantic,1,NA,NA,Junior college,Education,NA,NA,none,NA,1,Retired,0,Private,"Machinery manufacturing, n.e.c.    ",48,25
3300,725,2,Female,White,55,Widowed,Big-city suburb,E. nor. central,1,NA,NA,Bachelor,Business,58%+,468+,Public,NA,84,Keeping house,0,Private,Offices of dentists,46,72
3357,759,1,Male,White,32,Married,Big-city suburb,Pacific,1,No,No,Junior college,Business,NA,468+,Public,25000,67,Working fulltime,0,Private,Other health care services,64,NA
4459,1658,2,Female,White,69,Widowed,0,South atlantic,1,NA,NA,Junior college,Business,NA,0-467,Private,NA,1,Retired,0,Private,"Fabric mills, except knitting mills",48,31
2242,138,2,Male,Other,17,Never married,50000,Pacific,1,No,No,Graduate,Business,40-57.9%,468+,Public,25000,35,Working fulltime,0,Government,Libraries and archives,87,50
2550,308,1,Female,Black,30,Married,50000,South atlantic,1,No,No,Graduate,Business,58%+,468+,Public,25000,57,Working fulltime,0,Government,"Colleges and universities, including junior colleges",81,NA
2624,350,2,Female,White,30,Never married,Big-city suburb,E. nor. central,1,NA,NA,Graduate,Business,40-57.9%,468+,Public,25000,35,Working fulltime,0,Government,Executive offices and legislative bodies,87,40
136,2189,2,Male,White,40,Divorced,50000,Middle atlantic,1,No,No,Graduate,Business,58%+,468+,Public,25000,66,Working fulltime,0,Private,Pharmaceutical and medicine manufacturing,81,64
215,91,2,Female,White,57,Divorced,Big-city suburb,Middle atlantic,1,NA,NA,Bachelor,Business,0-39.9%,468+,Public,NA,1,Retired,0,Private,Computer and peripheral equipment manufacturing    ,54,46
414,1191,1,Male,Other,14,Never married,Big-city suburb,Pacific,0,No,No,Bachelor,Business,40-57.9%,468+,Public,8000,35,Working fulltime,0,Private,"Colleges and universities, including junior colleges",81,NA
609,1774,2,Female,White,26,Never married,250000,E. nor. central,1,No,No,Bachelor,Business,58%+,468+,Public,25000,35,Working fulltime,0,Private,"Other amusement, gambling, and recreation industries",75,46
742,1847,2,Male,White,26,Divorced,NA,South atlantic,1,No,No,Bachelor,Business,58%+,468+,Public,25000,84,Temp not working,0,Private,Insurance carriers and related activities,74,35
1164,2081,1,Male,White,49,Never married,250000,E. nor. central,1,NA,NA,Bachelor,Business,0-39.9%,468+,Public,NA,1,Retired,0,Private,"Accounting, tax preparation, bookkeeping, and payroll services",81,NA
1234,2120,2,Female,White,27,Married,Big-city suburb,Middle atlantic,1,NA,NA,Bachelor,Business,58%+,468+,Private,25000,35,Working fulltime,0,Private,Advertising and related services,80,38
1302,2158,1,Female,Other,22,Married,0,Pacific,1,No,No,Bachelor,Business,NA,NA,none,NA,57,Working fulltime,1,Private,Not specified manufacturing industries,48,NA
1392,2207,2,Female,White,16,Never married,50000,W. sou. central,1,NA,NA,Bachelor,Business,40-57.9%,468+,Public,25000,35,Working fulltime,0,Private,"Communications, and audio and video equipment manufacturing        ",72,39
1400,2213,2,Female,White,41,Married,0,W. sou. central,1,NA,NA,Junior college,Business,NA,NA,none,NA,84,Keeping house,0,Private,Advertising and related services,68,48
2100,59,2,Male,White,56,Divorced,Big-city suburb,Middle atlantic,1,NA,NA,Graduate,Mathematics,58%+,468+,Private,NA,1,Retired,0,Private,Petroleum refining,75,24
2106,62,2,Female,White,30,Divorced,Big-city suburb,South atlantic,0,No,No,Junior college,Mathematics,NA,468+,Public,25000,69,Working fulltime,1,Private,Shoe stores,45,44
2710,397,1,Female,White,33,Married,50000,South atlantic,1,Yes,No,Bachelor,Mathematics,40-57.9%,468+,Public,25000,35,Working fulltime,0,Private,Other health care services,62,NA
2962,537,1,Female,White,6,Never married,Big-city suburb,W. nor. central,1,Yes,No,Bachelor,Mathematics,58%+,468+,Private,25000,66,Working fulltime,0,Private,"Civic, social, advocacy organizations, and grantmaking and giving services",62,NA
4263,1440,2,Male,White,24,Married,0,W. sou. central,1,NA,NA,Bachelor,Mathematics,0-39.9%,468+,Public,25000,46,Working fulltime,0,Private,Banking and related activities,72,NA
4359,1547,2,Female,White,21,Never married,50000,E. nor. central,1,No,No,Bachelor,Mathematics,40-57.9%,468+,Private,25000,39,Working fulltime,0,Private,"Business, technical, and trade schools and training",46,64
1964,2525,2,Female,White,6,Never married,50000,Mountain,1,No,No,Bachelor,Mathematics,58%+,468+,Public,3000,32,Working fulltime,0,Private,Department stores and discount stores,24,49
1982,2535,2,Male,White,38,Married,NA,E. nor. central,1,No,No,Bachelor,Mathematics,40-57.9%,468+,Public,25000,61,Working fulltime,1,NA,Construction,49,31
